,Retailer,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Sales Method,year,month,day
0,Foot Locker,2020-01-01,Northeast,New York,New York,Men's Street Footwear,50.0,"1,200",60000.0,30000.0,In-store,2020,1,1
1,Foot Locker,2020-01-02,Northeast,New York,New York,Men's Athletic Footwear,50.0,"1,000",50000.0,15000.0,In-store,2020,1,2
2,Foot Locker,2020-01-03,Northeast,New York,New York,Women's Street Footwear,40.0,"1,000",40000.0,14000.0,In-store,2020,1,3
3,Foot Locker,2020-01-04,Northeast,New York,New York,Women's Athletic Footwear,45.0,850,38250.0,13388.0,In-store,2020,1,4
4,Foot Locker,2020-01-05,Northeast,New York,New York,Men's Apparel,60.0,900,54000.0,16200.0,In-store,2020,1,5
5,Foot Locker,2020-01-06,Northeast,New York,New York,Women's Apparel,50.0,"1,000",50000.0,12500.0,In-store,2020,1,6
6,Foot Locker,2020-01-07,Northeast,New York,New York,Men's Street Footwear,50.0,"1,250",62500.0,31250.0,In-store,2020,1,7
7,Foot Locker,2020-01-08,Northeast,New York,New York,Men's Athletic Footwear,50.0,900,45000.0,13500.0,Outlet,2020,1,8
8,Foot Locker,2020-01-21,Northeast,New York,New York,Women's Street Footwear,40.0,950,38000.0,13300.0,Outlet,2020,1,21
9,Foot Locker,2020-01-22,Northeast,New York,New York,Women's Athletic Footwear,45.0,825,37125.0,12994.0,Outlet,2020,1,22
10,Foot Locker,2020-01-23,Northeast,New York,New York,Men's Apparel,60.0,900,54000.0,16200.0,Outlet,2020,1,23
11,Foot Locker,2020-01-24,Northeast,New York,New York,Women's Apparel,50.0,"1,000",50000.0,12500.0,Outlet,2020,1,24
12,Foot Locker,2020-01-25,Northeast,New York,New York,Men's Street Footwear,50.0,"1,220",61000.0,30500.0,Outlet,2020,1,25
13,Foot Locker,2020-01-26,Northeast,New York,New York,Men's Athletic Footwear,50.0,925,46250.0,13875.0,Outlet,2020,1,26
14,Foot Locker,2020-01-27,Northeast,New York,New York,Women's Street Footwear,40.0,950,38000.0,13300.0,Outlet,2020,1,27
15,Foot Locker,2020-01-28,Northeast,New York,New York,Women's Athletic Footwear,45.0,800,36000.0,12600.0,Outlet,2020,1,28
16,Foot Locker,2020-01-29,Northeast,New York,New York,Men's Apparel,45.21563342318059,850,51000.0,15300.0,Outlet,2020,1,29
17,Foot Locker,2020-01-30,Northeast,New York,New York,Women's Apparel,50.0,950,47500.0,11875.0,Outlet,2020,1,30
18,Foot Locker,2020-01-31,Northeast,New York,New York,Men's Street Footwear,50.0,"1,200",60000.0,30000.0,Outlet,2020,1,31
19,Foot Locker,2020-02-01,Northeast,New York,New York,Men's Athletic Footwear,50.0,900,45000.0,13500.0,Outlet,2020,2,1
20,Foot Locker,2020-02-02,Northeast,New York,New York,Women's Street Footwear,40.0,900,36000.0,12600.0,Outlet,2020,2,2
21,Foot Locker,2020-02-03,Northeast,New York,New York,Women's Athletic Footwear,45.0,825,37125.0,12994.0,Outlet,2020,2,3
22,Foot Locker,2020-02-04,Northeast,New York,New York,Men's Apparel,60.0,825,49500.0,14850.0,Outlet,2020,2,4
23,Foot Locker,2020-02-05,Northeast,New York,New York,Women's Apparel,50.0,950,47500.0,11875.0,Outlet,2020,2,5
24,Foot Locker,2020-02-06,Northeast,New York,New York,Men's Street Footwear,60.0,"1,220",73200.0,36600.0,Outlet,2020,2,6
25,Foot Locker,2020-02-07,Northeast,New York,New York,Men's Athletic Footwear,55.0,925,50875.0,15263.0,Outlet,2020,2,7
26,Foot Locker,2020-02-08,Northeast,New York,New York,Women's Street Footwear,50.0,900,45000.0,15750.0,Outlet,2020,2,8
27,Foot Locker,2020-02-09,Northeast,New York,New York,Women's Athletic Footwear,50.0,850,42500.0,14875.0,Outlet,2020,2,9
28,Foot Locker,2020-02-10,Northeast,New York,New York,Men's Apparel,60.0,875,52500.0,15750.0,Outlet,2020,2,10
29,Foot Locker,2020-03-03,Northeast,New York,New York,Women's Apparel,65.0,"1,000",65000.0,16250.0,Outlet,2020,3,3
30,Foot Locker,2020-03-04,Northeast,New York,New York,Men's Street Footwear,60.0,"1,250",75000.0,37500.0,Outlet,2020,3,4
31,Foot Locker,2020-03-05,Northeast,New York,New York,Men's Athletic Footwear,55.0,"1,000",55000.0,16500.0,Outlet,2020,3,5
